term	pos	category	emotion
sheepishness	NOUN	Shame	Negative
scandalous	ADJ	Shame	Negative
shameful	ADJ	Shame	Negative
disgraceful	ADJ	Shame	Negative
shocking	ADJ	Shame	Negative
sheepish	ADJ	Shame	Negative
shamefaced	ADJ	Shame	Negative
hangdog	ADJ	Shame	Negative
shamed	ADJ	Shame	Negative
guilty	ADJ	Shame	Negative
shamefaced	ADJ	Shame	Negative
discredited	ADJ	Shame	Negative
disgraced	ADJ	Shame	Negative
shamed	ADJ	Shame	Negative
dishonored	ADJ	Shame	Negative
ashamed	ADJ	Shame	Negative
shame	VERB	Shame	Negative
shame	NOUN	Shame	Negative
inglorious	ADJ	Shame	Negative
ignominious	ADJ	Shame	Negative
disgraceful	ADJ	Shame	Negative
black	ADJ	Shame	Negative
opprobrious	ADJ	Shame	Negative
shameful	ADJ	Shame	Negative
shame	VERB	Shame	Negative
disgracefully	ADV	Shame	Negative
discreditably	ADV	Shame	Negative
ingloriously	ADV	Shame	Negative
shamefully	ADV	Shame	Negative
dishonorably	ADV	Shame	Negative
ignominiously	ADV	Shame	Negative
dishonourably	ADV	Shame	Negative
humiliate	VERB	Shame	Negative
abase	VERB	Shame	Negative
chagrin	VERB	Shame	Negative
humble	VERB	Shame	Negative
mortify	VERB	Shame	Negative
chagrin	NOUN	Shame	Negative
mortification	NOUN	Shame	Negative
humiliation	NOUN	Shame	Negative
chagrined	ADJ	Shame	Negative
embarrassed	ADJ	Shame	Negative
abashed	ADJ	Shame	Negative
confusion	NOUN	Shame	Negative
discombobulation	NOUN	Shame	Negative
confusing	ADJ	Shame	Negative
confused	ADJ	Shame	Negative
broken	ADJ	Shame	Negative
upset	ADJ	Shame	Negative
disordered	ADJ	Shame	Negative
confusedly	ADV	Shame	Negative
consternate	VERB	Shame	Negative
flurry	VERB	Shame	Negative
disconcert	VERB	Shame	Negative
confuse	VERB	Shame	Negative
abashment	NOUN	Shame	Negative
bashfulness	NOUN	Shame	Negative
conscience	NOUN	Shame	Negative
self-consciously	ADV	Shame	Negative
self-conscious	ADJ	Shame	Negative
uneasiness	NOUN	Shame	Negative
uncomfortableness	NOUN	Shame	Negative
self-consciousness	NOUN	Shame	Negative
disconcertment	NOUN	Shame	Negative
discomposure	NOUN	Shame	Negative
discomfiture	NOUN	Shame	Negative
disconcertion	NOUN	Shame	Negative
embarrassed	ADJ	Shame	Negative
discomfited	ADJ	Shame	Negative
discompose	VERB	Shame	Negative
upset	VERB	Shame	Negative
untune	VERB	Shame	Negative
discomfit	VERB	Shame	Negative
disconcert	VERB	Shame	Negative
mortifying	ADJ	Shame	Negative
embarrassing	ADJ	Shame	Negative
embarrass	VERB	Shame	Negative
abash	VERB	Shame	Negative
embarrassingly	ADV	Shame	Negative
mortified	ADJ	Shame	Negative
humiliated	ADJ	Shame	Negative
embarrassed	ADJ	Shame	Negative
embarrassed	ADJ	Shame	Negative
discomfited	ADJ	Shame	Negative
embarrassment	NOUN	Shame	Negative
chagrined	ADJ	Shame	Negative
embarrassed	ADJ	Shame	Negative
abashed	ADJ	Shame	Negative
awkward	ADJ	Shame	Negative
unenviable	ADJ	Shame	Negative
sticky	ADJ	Shame	Negative
embarrassing	ADJ	Shame	Negative
self-disgust	NOUN	Shame	Negative
self-hatred	NOUN	Shame	Negative
forgive	VERB	Compassion	Negative
forgiveness	NOUN	Compassion	Negative
excusable	ADJ	Compassion	Negative
forgivable	ADJ	Compassion	Negative
venial	ADJ	Compassion	Negative
commiserate	VERB	Compassion	Negative
sympathize	VERB	Compassion	Negative
pathos	NOUN	Compassion	Negative
pity	NOUN	Compassion	Negative
commiseration	NOUN	Compassion	Negative
ruth	NOUN	Compassion	Negative
tender	ADJ	Compassion	Negative
affectionate	ADJ	Compassion	Negative
tender	ADJ	Compassion	Negative
lovesome	ADJ	Compassion	Negative
warm	ADJ	Compassion	Negative
fond	ADJ	Compassion	Negative
caring	ADJ	Compassion	Negative
tenderly	ADV	Compassion	Negative
tenderness	NOUN	Compassion	Negative
tenderheartedness	NOUN	Compassion	Negative
merciful	ADJ	Compassion	Negative
mercifully	ADV	Compassion	Negative
mercy	NOUN	Compassion	Negative
mercifulness	NOUN	Compassion	Negative
compassionate	ADJ	Compassion	Negative
compassionateness	NOUN	Compassion	Negative
compassion	NOUN	Compassion	Negative
pity	VERB	Compassion	Negative
compassionate	VERB	Compassion	Negative
compassionate	ADJ	Compassion	Negative
meekness	NOUN	Humility	Negative
mortifying	ADJ	Humility	Negative
humiliating	ADJ	Humility	Negative
demeaning	ADJ	Humility	Negative
humbling	ADJ	Humility	Negative
mortified	ADJ	Humility	Negative
humiliated	ADJ	Humility	Negative
embarrassed	ADJ	Humility	Negative
humiliate	VERB	Humility	Negative
abase	VERB	Humility	Negative
chagrin	VERB	Humility	Negative
humble	VERB	Humility	Negative
mortify	VERB	Humility	Negative
humbleness	NOUN	Humility	Negative
humility	NOUN	Humility	Negative
humiliatingly	ADV	Humility	Negative
demeaningly	ADV	Humility	Negative
self-deprecating	ADJ	Humility	Negative
self-depreciation	NOUN	Humility	Negative
misanthropical	ADJ	Despair	Negative
cynical	ADJ	Despair	Negative
misanthropic	ADJ	Despair	Negative
cynicism	NOUN	Despair	Negative
discouraged	ADJ	Despair	Negative
disheartened	ADJ	Despair	Negative
demoralized	ADJ	Despair	Negative
discourage	VERB	Despair	Negative
discouraging	ADJ	Despair	Negative
discouraged	ADJ	Despair	Negative
frustrated	ADJ	Despair	Negative
balked	ADJ	Despair	Negative
baffled	ADJ	Despair	Negative
discouragement	NOUN	Despair	Negative
dismay	NOUN	Despair	Negative
disheartenment	NOUN	Despair	Negative
resignedly	ADV	Despair	Negative
abjectly	ADV	Despair	Negative
surrender	NOUN	Despair	Negative
resignation	NOUN	Despair	Negative
resigned	ADJ	Despair	Negative
unhopeful	ADJ	Despair	Negative
abject	ADJ	Despair	Negative
resignedly	ADV	Despair	Negative
reconcile	VERB	Despair	Negative
resign	VERB	Despair	Negative
submit	VERB	Despair	Negative
intimidation	NOUN	Despair	Negative
pessimism	NOUN	Despair	Negative
pessimistically	ADV	Despair	Negative
pessimistic	ADJ	Despair	Negative
defeat	VERB	Despair	Negative
overcome	VERB	Despair	Negative
defeatism	NOUN	Despair	Negative
discomfited	ADJ	Despair	Negative
disappointed	ADJ	Despair	Negative
frustrated	ADJ	Despair	Negative
thwarted	ADJ	Despair	Negative
foiled	ADJ	Despair	Negative
defeated	ADJ	Despair	Negative
desperate	ADJ	Despair	Negative
despairing	ADJ	Despair	Negative
despair	VERB	Despair	Negative
despair	NOUN	Despair	Negative
despondently	ADV	Despair	Negative
despairingly	ADV	Despair	Negative
hopeless	ADJ	Despair	Negative
hopelessness	NOUN	Despair	Negative
dispiritedly	ADV	Despair	Negative
hopelessly	ADV	Despair	Negative
hopelessly	ADV	Despair	Negative
scruple	NOUN	Anxiety	Negative
qualm	NOUN	Anxiety	Negative
misgiving	NOUN	Anxiety	Negative
nervousness	NOUN	Anxiety	Negative
jumpiness	NOUN	Anxiety	Negative
restiveness	NOUN	Anxiety	Negative
jitteriness	NOUN	Anxiety	Negative
nervy	ADJ	Anxiety	Negative
overstrung	ADJ	Anxiety	Negative
jittery	ADJ	Anxiety	Negative
edgy	ADJ	Anxiety	Negative
high-strung	ADJ	Anxiety	Negative
restive	ADJ	Anxiety	Negative
nervous	ADJ	Anxiety	Negative
uptight	ADJ	Anxiety	Negative
jumpy	ADJ	Anxiety	Negative
worried	ADJ	Anxiety	Negative
upset	ADJ	Anxiety	Negative
disquieted	ADJ	Anxiety	Negative
distressed	ADJ	Anxiety	Negative
disturbed	ADJ	Anxiety	Negative
worry	VERB	Anxiety	Negative
dwell	VERB	Anxiety	Negative
brood	VERB	Anxiety	Negative
disturbing	ADJ	Anxiety	Negative
distressful	ADJ	Anxiety	Negative
worrying	ADJ	Anxiety	Negative
perturbing	ADJ	Anxiety	Negative
troubling	ADJ	Anxiety	Negative
worrisome	ADJ	Anxiety	Negative
distressing	ADJ	Anxiety	Negative
distressed	ADJ	Anxiety	Negative
dysphoric	ADJ	Anxiety	Negative
unhappy	ADJ	Anxiety	Negative
distress	VERB	Anxiety	Negative
worry	VERB	Anxiety	Negative
worryingly	ADV	Anxiety	Negative
distressfully	ADV	Anxiety	Negative
distressingly	ADV	Anxiety	Negative
painfully	ADV	Anxiety	Negative
worry	NOUN	Anxiety	Negative
distress	NOUN	Anxiety	Negative
trouble	NOUN	Anxiety	Negative
afraid	ADJ	Anxiety	Negative
restlessness	NOUN	Anxiety	Negative
fidget	NOUN	Anxiety	Negative
fidgetiness	NOUN	Anxiety	Negative
itchy	ADJ	Anxiety	Negative
fretful	ADJ	Anxiety	Negative
restless	ADJ	Anxiety	Negative
fidgety	ADJ	Anxiety	Negative
insecurely	ADV	Anxiety	Negative
insecure	ADJ	Anxiety	Negative
insecurity	NOUN	Anxiety	Negative
edginess	NOUN	Anxiety	Negative
uneasiness	NOUN	Anxiety	Negative
inquietude	NOUN	Anxiety	Negative
disquietude	NOUN	Anxiety	Negative
nervy	ADJ	Anxiety	Negative
overstrung	ADJ	Anxiety	Negative
jittery	ADJ	Anxiety	Negative
edgy	ADJ	Anxiety	Negative
high-strung	ADJ	Anxiety	Negative
restive	ADJ	Anxiety	Negative
nervous	ADJ	Anxiety	Negative
uptight	ADJ	Anxiety	Negative
jumpy	ADJ	Anxiety	Negative
impatiently	ADV	Anxiety	Negative
impatient	ADJ	Anxiety	Negative
impatience	NOUN	Anxiety	Negative
raring	ADJ	Anxiety	Negative
impatient	ADJ	Anxiety	Negative
interest	VERB	Anxiety	Negative
worry	VERB	Anxiety	Negative
concern	VERB	Anxiety	Negative
occupy	VERB	Anxiety	Negative
concerned	ADJ	Anxiety	Negative
care	NOUN	Anxiety	Negative
concern	NOUN	Anxiety	Negative
fear	NOUN	Anxiety	Negative
solicitude	NOUN	Anxiety	Negative
solicitousness	NOUN	Anxiety	Negative
solicitously	ADV	Anxiety	Negative
solicitous	ADJ	Anxiety	Negative
anxiety	NOUN	Anxiety	Negative
apprehensive	ADJ	Anxiety	Negative
anxious	ADJ	Anxiety	Negative
apprehensively	ADV	Anxiety	Negative
anxiously	ADV	Anxiety	Negative
uneasily	ADV	Anxiety	Negative
nervous	ADJ	Anxiety	Negative
uneasy	ADJ	Anxiety	Negative
anxious	ADJ	Anxiety	Negative
unquiet	ADJ	Anxiety	Negative
turmoil	NOUN	Anxiety	Negative
tumult	NOUN	Anxiety	Negative
disconcertment	NOUN	Anxiety	Negative
discomposure	NOUN	Anxiety	Negative
discomfiture	NOUN	Anxiety	Negative
disconcertion	NOUN	Anxiety	Negative
embarrassed	ADJ	Anxiety	Negative
discomfited	ADJ	Anxiety	Negative
discompose	VERB	Anxiety	Negative
upset	VERB	Anxiety	Negative
untune	VERB	Anxiety	Negative
discomfit	VERB	Anxiety	Negative
disconcert	VERB	Anxiety	Negative
apprehensive	ADJ	Anxiety	Negative
anxious	ADJ	Anxiety	Negative
apprehensively	ADV	Anxiety	Negative
anxiously	ADV	Anxiety	Negative
uneasily	ADV	Anxiety	Negative
nervous	ADJ	Anxiety	Negative
uneasy	ADJ	Anxiety	Negative
anxious	ADJ	Anxiety	Negative
unquiet	ADJ	Anxiety	Negative
anxiousness	NOUN	Anxiety	Negative
disquiet	NOUN	Anxiety	Negative
stewing	NOUN	Anxiety	Negative
angst	NOUN	Anxiety	Negative
sinking	NOUN	Anxiety	Negative
daze	VERB	Daze	Negative
bedaze	VERB	Daze	Negative
stun	VERB	Daze	Negative
dazzling	ADJ	Daze	Negative
fulgurant	ADJ	Daze	Negative
fulgurous	ADJ	Daze	Negative
stunned	ADJ	Daze	Negative
stupid	ADJ	Daze	Negative
dazed	ADJ	Daze	Negative
stupefied	ADJ	Daze	Negative
dazzlingly	ADV	Daze	Negative
stupor	NOUN	Daze	Negative
daze	NOUN	Daze	Negative
shock	NOUN	Daze	Negative
languor	NOUN	Apathy	Neutral
lassitude	NOUN	Apathy	Neutral
listlessness	NOUN	Apathy	Neutral
languorously	ADV	Apathy	Neutral
languorous	ADJ	Apathy	Neutral
dreamy	ADJ	Apathy	Neutral
lackadaisical	ADJ	Apathy	Neutral
languid	ADJ	Apathy	Neutral
apathetic	ADJ	Apathy	Neutral
apathetically	ADV	Apathy	Neutral
apathy	NOUN	Apathy	Neutral
emotionless	ADJ	Apathy	Neutral
passionless	ADJ	Apathy	Neutral
unemotionality	NOUN	Apathy	Neutral
phlegm	NOUN	Apathy	Neutral
indifference	NOUN	Apathy	Neutral
emotionlessness	NOUN	Apathy	Neutral
impassiveness	NOUN	Apathy	Neutral
impassivity	NOUN	Apathy	Neutral
stolidity	NOUN	Apathy	Neutral
distance	VERB	Unconcern	Neutral
distance	NOUN	Unconcern	Neutral
aloofness	NOUN	Unconcern	Neutral
indifferent	ADJ	Unconcern	Neutral
indifferent	ADJ	Unconcern	Neutral
apathetic	ADJ	Unconcern	Neutral
indifferently	ADV	Unconcern	Neutral
indifference	NOUN	Unconcern	Neutral
unconcerned	ADJ	Unconcern	Neutral
unconcern	NOUN	Unconcern	Neutral
unconcernedly	ADV	Unconcern	Neutral
detachment	NOUN	Unconcern	Neutral
withdrawal	NOUN	Unconcern	Neutral
thing	NOUN	Thing	Neutral
earnestly	ADV	Gravity	Neutral
seriously	ADV	Gravity	Neutral
earnestness	NOUN	Gravity	Neutral
sincerity	NOUN	Gravity	Neutral
seriousness	NOUN	Gravity	Neutral
heartfelt	ADJ	Gravity	Neutral
dear	ADJ	Gravity	Neutral
earnest	ADJ	Gravity	Neutral
devout	ADJ	Gravity	Neutral
solemnity	NOUN	Gravity	Neutral
gravity	NOUN	Gravity	Neutral
surprising	ADJ	Surprise	Neutral
surprised	ADJ	Surprise	Neutral
surprise	VERB	Surprise	Neutral
amazingly	ADV	Surprise	Neutral
surprisingly	ADV	Surprise	Neutral
astonishingly	ADV	Surprise	Neutral
surprisingly	ADV	Surprise	Neutral
surprise	NOUN	Surprise	Neutral
surprisedly	ADV	Surprise	Neutral
unrest	NOUN	Agitation	Neutral
excite	VERB	Agitation	Neutral
stir	VERB	Agitation	Neutral
shake	VERB	Agitation	Neutral
stimulate	VERB	Agitation	Neutral
incite	VERB	Agitation	Neutral
instigate	VERB	Agitation	Neutral
stir	NOUN	Agitation	Neutral
stir	VERB	Agitation	Neutral
touch	VERB	Agitation	Neutral
heat	VERB	Agitation	Neutral
inflame	VERB	Agitation	Neutral
ignite	VERB	Agitation	Neutral
sensational	ADJ	Agitation	Neutral
sensation	NOUN	Agitation	Neutral
sensationally	ADV	Agitation	Neutral
yellow	ADJ	Agitation	Neutral
sensationalistic	ADJ	Agitation	Neutral
scandalmongering	ADJ	Agitation	Neutral
electricity	NOUN	Agitation	Neutral
thrilling	ADJ	Agitation	Neutral
electrifying	ADJ	Agitation	Neutral
turmoil	NOUN	Agitation	Neutral
tumult	NOUN	Agitation	Neutral
foment	VERB	Agitation	Neutral
agitate	VERB	Agitation	Neutral
agitated	ADJ	Agitation	Neutral
agitation	NOUN	Agitation	Neutral
reverence	NOUN	Fear	Neutral
awe	NOUN	Fear	Neutral
veneration	NOUN	Fear	Neutral
reverent	ADJ	Fear	Neutral
idolize	VERB	Fear	Neutral
revere	VERB	Fear	Neutral
worship	VERB	Fear	Neutral
hero-worship	VERB	Fear	Neutral
reverently	ADV	Fear	Neutral
reverentially	ADV	Fear	Neutral
reverence	VERB	Fear	Neutral
venerate	VERB	Fear	Neutral
fear	VERB	Fear	Neutral
revere	VERB	Fear	Neutral
brooding	NOUN	Pensiveness	Neutral
pensiveness	NOUN	Pensiveness	Neutral
broody	ADJ	Pensiveness	Neutral
musing	ADJ	Pensiveness	Neutral
pensive	ADJ	Pensiveness	Neutral
ruminative	ADJ	Pensiveness	Neutral
contemplative	ADJ	Pensiveness	Neutral
brooding	ADJ	Pensiveness	Neutral
pondering	ADJ	Pensiveness	Neutral
reflective	ADJ	Pensiveness	Neutral
meditative	ADJ	Pensiveness	Neutral
pensively	ADV	Pensiveness	Neutral
wistful	ADJ	Pensiveness	Neutral
pensive	ADJ	Pensiveness	Neutral
expectation	NOUN	Expectation	Neutral
expectant	ADJ	Expectation	Neutral
anticipative	ADJ	Expectation	Neutral
anticipant	ADJ	Expectation	Neutral
expectantly	ADV	Expectation	Neutral
expect	VERB	Expectation	Neutral
anticipate	VERB	Expectation	Neutral
feverish	ADJ	Expectation	Neutral
hectic	ADJ	Expectation	Neutral
feverishly	ADV	Expectation	Neutral
fever	NOUN	Expectation	Neutral
fevered	ADJ	Expectation	Neutral
hope	NOUN	Expectation	Neutral
desire	VERB	Expectation	Neutral
hope	VERB	Expectation	Neutral
trust	VERB	Expectation	Neutral
hopefully	ADV	Expectation	Neutral
hopeful	ADJ	Expectation	Neutral
hopefully	ADV	Expectation	Neutral
